Date,Close,Volume (BTC),Close (ETH),Volume (ETH),Close (USDT),Volume (USDT),Close (BNB),Volume (BNB)
28-02-2018,10397.90039,6936189952,855.1989746,1963980032,0.998902977,2414230016,10.4382,69036400
01-03-2018,10951,7317279744,872.2000122,1868519936,1.000419974,2285570048,10.50969982,72474200
02-03-2018,11086.40039,7620590080,856.8530273,1894419968,0.999729991,2172250112,10.22480011,46449100
03-03-2018,11489.7002,6690570240,857.2249756,1699369984,1.000869989,2181489920,10.21790028,40001900
04-03-2018,11512.59961,6084149760,866.6779785,1697939968,0.997612,2133910016,10.34809971,37886900
05-03-2018,11573.2998,6468539904,853.684021,1898489984,0.998863995,2227680000,10.11050034,38605100
06-03-2018,10779.90039,6832169984,816.9509888,1943069952,1.000499964,2491849984,9.384380341,38182600
07-03-2018,9965.570313,8797910016,752.8309937,2175419904,1.00248003,3037380096,9.034879684,79740800
08-03-2018,9395.009766,7186089984,704.5960083,1891640064,1.005910039,2636689920,8.310440063,48535100
09-03-2018,9337.549805,8704190464,728.9160156,2233019904,1.001659989,3131620096,8.313070297,46893300
10-03-2018,8866,5386319872,686.8900146,1532960000,1.005190015,2218810112,7.671659946,41645000
11-03-2018,9578.629883,6296370176,723.3389893,1562680064,1.00383997,2394810112,8.272379875,45451700
12-03-2018,9205.120117,6457399808,699.8309937,1764999936,1.002349973,2155559936,8.039270401,51188100
13-03-2018,9194.849609,5991139840,690.8270264,1425959936,0.999843001,1890040064,10.11520004,216111008
14-03-2018,8269.80957,6438230016,614.2910156,1810560000,1.002750039,2151670016,8.959210396,124112000
15-03-2018,8300.860352,6834429952,611.3040161,1770460032,1.00127995,2259869952,9.099080086,104531000
16-03-2018,8338.349609,5289379840,601.6660156,1417350016,0.998551011,1872050048,9.111319542,97626000
17-03-2018,7916.879883,4426149888,552.7789917,1267810048,1.001620054,1687920000,8.987739563,94679904
18-03-2018,8223.679688,6639190016,538.6439819,2685499904,1.00308001,2639470080,8.951849937,94840304
19-03-2018,8630.650391,6729110016,556.7260132,2046790016,0.989866972,2638089984,8.992739677,97938896
20-03-2018,8913.469727,6361789952,557.1749878,1833680000,0.996832013,2506319872,9.16092968,96919504
21-03-2018,8929.280273,6043129856,561.7319946,1781270016,0.999243975,2353890048,9.982000351,131761000
22-03-2018,8728.469727,5530390016,539.7020264,1523459968,0.998982012,2171849984,10.06630039,112305000
23-03-2018,8879.620117,5954120192,539.6190186,1596349952,0.990234971,1995699968,11.73760033,157246000
24-03-2018,8668.120117,5664600064,526.4390259,1300009984,1.00909996,1785500032,13.08909988,255358000
25-03-2018,8495.780273,4569880064,524.2869873,1151170048,0.999686003,1511320064,12.78310013,189518000
26-03-2018,8209.400391,5921039872,489.9509888,1638880000,1.003409982,2183960064,12.06140041,132353000
27-03-2018,7833.040039,5378250240,450.1159973,1617939968,1.001610041,2051079936,11.50829983,102579000
28-03-2018,7954.47998,4935289856,446.2789917,1514179968,0.99920398,1857049984,11.64039993,92931200
29-03-2018,7165.700195,6361229824,385.9679871,1970230016,0.998623013,2486609920,10.19610023,81352096
30-03-2018,6890.52002,6289509888,394.644989,1878130048,0.998942971,2596849920,10.35039997,75551600
31-03-2018,6973.529785,4553269760,396.4570007,1323920000,1.000769973,1763719936,11.05589962,89256304
01-04-2018,6844.22998,4532100096,379.6069946,1256930048,0.99980998,1832530048,11.06620026,87918096
02-04-2018,7083.799805,4333440000,386.4249878,1102259968,1.000130057,1550880000,12.62069988,116071000
03-04-2018,7456.109863,5499700224,416.8930054,1363399936,1.000370026,1753520000,13.36069965,141287008
04-04-2018,6853.839844,4936000000,380.5429993,1287730048,1.000830054,1772329984,12.19040012,119600000
05-04-2018,6811.470215,5639320064,383.2319946,1210680064,1.002529979,1609469952,12.45359993,103864000
06-04-2018,6636.319824,3766810112,370.2850037,967105984,1.00109005,1257110016,12.25839996,81989696
07-04-2018,6911.089844,3976610048,385.3139954,951475008,0.999643981,1332259968,12.45569992,87924896
08-04-2018,7023.52002,3652499968,400.5079956,948488000,0.996809006,1090880000,12.11760044,79045000
09-04-2018,6770.72998,4894060032,398.526001,1478390016,0.997555017,1678770048,11.86830044,80643696
10-04-2018,6834.759766,4272750080,414.2430115,1196000000,0.997355998,1253949952,12.03619957,87608200
11-04-2018,6968.319824,4641889792,430.5400085,1439040000,1.000249982,1741699968,12.23089981,92759696
12-04-2018,7889.25,8906250240,492.9410095,2519360000,0.996831,3636590080,12.95250034,133239000
13-04-2018,7895.959961,7764460032,492.7349854,2419249920,0.998894989,3218919936,13.53680038,148215008
14-04-2018,7986.240234,5191430144,501.4779968,1519079936,0.999765992,2060220032,13.24440002,94980800
15-04-2018,8329.110352,5244480000,531.7020264,1726089984,0.998601973,2057859968,13.05879974,115373000
16-04-2018,8058.669922,5631309824,511.1470032,1758979968,0.997591972,2125180032,12.21000004,75965504
17-04-2018,7902.089844,6900879872,502.8940125,1760359936,0.998556018,2075650048,11.76939964,77537400
18-04-2018,8163.419922,6529909760,524.7890015,1762940032,0.997609019,2112089984,12.27569962,90015104
19-04-2018,8294.30957,7063209984,567.8889771,2256869888,0.997184992,2217799936,12.3526001,78661696
20-04-2018,8845.830078,8438110208,615.7180176,2849469952,0.998337984,3458870016,12.57520008,86036096
21-04-2018,8895.580078,7548550144,605.3950195,2612460032,0.99901402,3570040064,13.37839985,141582000
22-04-2018,8802.459961,6629899776,621.8599854,2426269952,0.996195972,3176019968,12.87590027,84873000
