Date,Open,High,Low,Close
30-May-05,,,,2049.5
31-May-05,,,,2067.2
01-Jun-05,,,,2069.1
02-Jun-05,,,,2048.3
03-Jun-05,,,,2076.3
04-Jun-05,,,,2076
06-Jun-05,,,,2077.9
07-Jun-05,,,,2086.6
08-Jun-05,,,,2100.9
09-Jun-05,,,,2091.9
10-Jun-05,,,,2078.3
13-Jun-05,,,,2089.7
14-Jun-05,,,,2097.8
15-Jun-05,,,,2111
16-Jun-05,,,,2103.3
17-Jun-05,,,,2100
20-Jun-05,,,,2114.6
21-Jun-05,,,,2138.2
22-Jun-05,,,,2154.8
23-Jun-05,,,,2154.5
24-Jun-05,,,,2163.1
27-Jun-05,,,,2167.7
28-Jun-05,,,,2137.7
29-Jun-05,,,,2158.4
30-Jun-05,,,,2181.4
01-Jul-05,,,,2181
04-Jul-05,,,,2201.9
05-Jul-05,,,,2182.4
06-Jul-05,,,,2202.6
07-Jul-05,,,,2156.9
08-Jul-05,,,,2177.7
11-Jul-05,,,,2200.3
12-Jul-05,,,,2204.4
13-Jul-05,,,,2190.8
14-Jul-05,,,,2174.1
15-Jul-05,,,,2198.8
18-Jul-05,,,,2221.6
19-Jul-05,,,,2226.5
20-Jul-05,,,,2231.6
21-Jul-05,,,,2219.6
22-Jul-05,,,,2254.3
25-Jul-05,,,,2278.5
26-Jul-05,,,,2288.8
27-Jul-05,,,,2303.7
29-Jul-05,,,,2295.8
01-Aug-05,,,,2302.7
02-Aug-05,,,,2336.6
03-Aug-05,,,,2340
04-Aug-05,,,,2351.7
05-Aug-05,,,,2348.4
08-Aug-05,,,,2309.9
09-Aug-05,,,,2304.6
10-Aug-05,,,,2346.6
11-Aug-05,,,,2365
12-Aug-05,,,,2349
16-Aug-05,,,,2355.7
17-Aug-05,,,,2386.7
18-Aug-05,,,,2372
19-Aug-05,,,,2366.3
22-Aug-05,,,,2348.5
23-Aug-05,,,,2305.9
24-Aug-05,,,,2298.6
25-Aug-05,,,,2327.8
26-Aug-05,,,,2337.2
29-Aug-05,,,,2318.8
30-Aug-05,,,,2349.5
31-Aug-05,,,,2366.2
01-Sep-05,,,,2384.7
02-Sep-05,,,,2394.4
05-Sep-05,,,,2402
06-Sep-05,,,,2407
08-Sep-05,,,,2430.8
09-Sep-05,,,,2433.1
12-Sep-05,,,,2463.3
13-Sep-05,,,,2481.1
14-Sep-05,,,,2471.8
15-Sep-05,,,,2501.5
16-Sep-05,,,,2527.9
19-Sep-05,,,,2545.2
20-Sep-05,,,,2552.9
21-Sep-05,,,,2537.1
22-Sep-05,,,,2441.9
23-Sep-05,,,,2444.6
26-Sep-05,,,,2522.9
27-Sep-05,,,,2540.1
28-Sep-05,,,,2561.5
29-Sep-05,,,,2569.2
30-Sep-05,,,,2566.5
03-Oct-05,,,,2595.5
04-Oct-05,,,,2628
05-Oct-05,,,,2607.7
06-Oct-05,,,,2546.8
07-Oct-05,,,,2540
10-Oct-05,,,,2531
11-Oct-05,,,,2552.4
13-Oct-05,,,,2503.8
14-Oct-05,,,,2451.4
17-Oct-05,,,,2448.5
18-Oct-05,,,,2431.9
19-Oct-05,,,,2376
20-Oct-05,,,,2353.5
21-Oct-05,,,,2398.3
24-Oct-05,,,,2354.2
25-Oct-05,,,,2375.6
26-Oct-05,,,,2367.3
27-Oct-05,,,,2311.8
28-Oct-05,,,,2277.7
31-Oct-05,,,,2330.8
01-Nov-05,,,,2346.7
02-Nov-05,,,,2375.9
07-Nov-05,,,,2416.2
08-Nov-05,,,,2447.7
09-Nov-05,,,,2444
10-Nov-05,,,,2454.5
11-Nov-05,,,,2499.9
14-Nov-05,,,,2510.4
16-Nov-05,,,,2535.4
17-Nov-05,,,,2555.1
18-Nov-05,,,,2569.1
21-Nov-05,,,,2550.7
22-Nov-05,,,,2523.2
23-Nov-05,,,,2554.6
24-Nov-05,,,,2580.5
25-Nov-05,,,,2613
26-Nov-05,,,,2634.2
28-Nov-05,,,,2660.5
29-Nov-05,,,,2647.9
30-Nov-05,,,,2605.1
01-Dec-05,,,,2649.7
02-Dec-05,,,,2652.2
05-Dec-05,,,,2619.6
06-Dec-05,,,,2618.6
07-Dec-05,,,,2646.3
08-Dec-05,,,,2659.6
09-Dec-05,,,,2703.7
12-Dec-05,,,,2720.7
13-Dec-05,,,,2755
14-Dec-05,,,,2751.9
15-Dec-05,,,,2722.7
16-Dec-05,,,,2754.4
19-Dec-05,,,,2788.2
20-Dec-05,,,,2773.1
21-Dec-05,,,,2769.9
22-Dec-05,,,,2781
23-Dec-05,,,,2751.1
26-Dec-05,,,,2693.5
27-Dec-05,,,,2750.7
28-Dec-05,,,,2739.5
29-Dec-05,,,,2762.6
30-Dec-05,,,,2781.5
02-Jan-06,,,,2781.9
03-Jan-06,,,,2828
04-Jan-06,,,,2851.9
05-Jan-06,,,,2854.6
06-Jan-06,,,,2869.1
09-Jan-06,,,,2866.1
10-Jan-06,,,,2827.8
12-Jan-06,,,,2811.5
13-Jan-06,,,,2812.2
16-Jan-06,,,,2793.9
17-Jan-06,,,,2786.2
18-Jan-06,,,,2765.9
19-Jan-06,,,,2824.6
20-Jan-06,,,,2855
23-Jan-06,,,,2841.9
24-Jan-06,,,,2859.6
25-Jan-06,,,,2883.9
27-Jan-06,,,,2931.7
30-Jan-06,,,,2919.6
31-Jan-06,,,,2944.1
01-Feb-06,2951.9,2953.25,2903.3,2913.5
02-Feb-06,2929.8,2938.35,2899,2910.8
03-Feb-06,2900.7,2907.5,2881,2889.2
06-Feb-06,2891.45,2948.85,2881.4,2942.3
07-Feb-06,2954.35,2968.45,2937.3,2964.9
08-Feb-06,2954.1,2963.6,2933.9,2956.3
10-Feb-06,2968.55,2981.05,2963.55,2977.6
13-Feb-06,2982.25,2993.8,2972.4,2992.5
14-Feb-06,2999.2,3004.25,2963.25,2970
15-Feb-06,2992.75,2999.1,2947.65,2971.6
16-Feb-06,2981.75,2985.75,2966.35,2971.4
17-Feb-06,2984.7,2986,2924.9,2928.9
20-Feb-06,2929.1,2948.6,2900.65,2944.9
21-Feb-06,2957.75,2978.4,2957.75,2972.6
22-Feb-06,2977.9,2991.3,2970.35,2984.4
23-Feb-06,2991.85,3004.75,2984.95,2988.7
24-Feb-06,2994.9,2998.8,2975.55,2987.2
27-Feb-06,2989.7,3007.25,2989.7,3004.6
28-Feb-06,3019.2,3026.45,2969.25,3011.8
01-Mar-06,3005.85,3061.15,3002.45,3057.7
02-Mar-06,3078.65,3103.55,3066.8,3088.2
03-Mar-06,3099.5,3106.55,3074.45,3088.7
06-Mar-06,3099.35,3130.45,3099.35,3128
07-Mar-06,3129.25,3129.9,3107.4,3125.4
08-Mar-06,3124.5,3130,3055.9,3061.8
09-Mar-06,3067.85,3077.5,3019,3074.6
10-Mar-06,3096.75,3130.25,3093.85,3124.9
13-Mar-06,3139.15,3159.2,3131.7,3139.9
14-Mar-06,3149.6,3160.95,3123.65,3132.6
16-Mar-06,3150.75,3165.6,3144.25,3162.9
17-Mar-06,3178.5,3191.45,3162.5,3168.4
20-Mar-06,3191.8,3200.1,3182.7,3197.8
21-Mar-06,3210.35,3222.95,3178.85,3194
22-Mar-06,3187.05,3198.75,3154.8,3170.7
23-Mar-06,3185.35,3196.1,3157.65,3177.4
24-Mar-06,3185.5,3214.4,3181.35,3209.9
27-Mar-06,3217.9,3250.4,3217.9,3245.2
28-Mar-06,3258.4,3265.3,3234.45,3242.5
29-Mar-06,3254.1,3272.5,3244.95,3269.2
30-Mar-06,3284.6,3333.05,3284.6,3321
31-Mar-06,3319.65,3337.1,3292.05,3318.4
03-Apr-06,3326.3,3391.65,3326.3,3387.4
04-Apr-06,3405.5,3422,3381.8,3403.5
05-Apr-06,3422.75,3436.5,3408.05,3434.5
07-Apr-06,3469.6,3476.45,3371.65,3380.2
10-Apr-06,3388.1,3409.6,3359.7,3403.1
12-Apr-06,3405,3407.8,3301.6,3314.1
13-Apr-06,3316.2,3318.05,3210.3,3268.8
17-Apr-06,3321.75,3352.4,3299,3344.9
18-Apr-06,3384.4,3432.35,3384.4,3429.6
19-Apr-06,3463.25,3477.75,3414.55,3443.5
20-Apr-06,3458.95,3481.45,3436.95,3477.8
21-Apr-06,3490.85,3494.45,3424.5,3474.5
24-Apr-06,3471.9,3482.6,3444.45,3454.8
25-Apr-06,3451.6,3451.6,3367.95,3376.5
26-Apr-06,3385.6,3467.2,3370.8,3462.1
27-Apr-06,3476.15,3502.85,3407.7,3419.3
